state,year,lawtotal
Virginia,1991,12
Virginia,1992,12
Virginia,1993,13
Virginia,1994,15
Virginia,1995,14
Virginia,1996,14
Virginia,1997,15
Virginia,1998,15
Virginia,1999,15
Virginia,2000,14
Virginia,2001,14
Virginia,2002,14
Virginia,2003,14
Virginia,2004,12
Virginia,2005,12
Virginia,2006,12
Virginia,2007,12
Virginia,2008,13
Virginia,2009,13
Virginia,2010,13
Virginia,2011,13
Virginia,2012,12
Virginia,2013,12
Virginia,2014,12
Virginia,2015,12
Virginia,2016,13
Virginia,2017,13
Virginia,2018,13
Virginia,2019,13
Virginia,2020,25
Washington,1991,8
Washington,1992,11
Washington,1993,12
Washington,1994,28
Washington,1995,28
Washington,1996,24
Washington,1997,24
Washington,1998,24
Washington,1999,24
Washington,2000,24
Washington,2001,24
Washington,2002,24
Washington,2003,24
Washington,2004,24
Washington,2005,24
Washington,2006,24
Washington,2007,24
Washington,2008,24
Washington,2009,24
Washington,2010,24
Washington,2011,25
Washington,2012,25
Washington,2013,25
Washington,2014,41
Washington,2015,41
Washington,2016,43
Washington,2017,43
Washington,2018,43
Washington,2019,55
Washington,2020,55
West Virginia,1991,10
West Virginia,1992,10
West Virginia,1993,10
West Virginia,1994,11
West Virginia,1995,11
West Virginia,1996,12
West Virginia,1997,12
West Virginia,1998,13
West Virginia,1999,13
West Virginia,2000,18
West Virginia,2001,20
West Virginia,2002,20
West Virginia,2003,19
West Virginia,2004,19
West Virginia,2005,19
West Virginia,2006,19
West Virginia,2007,19
West Virginia,2008,18
West Virginia,2009,18
West Virginia,2010,22
West Virginia,2011,22
West Virginia,2012,24
West Virginia,2013,24
West Virginia,2014,24
West Virginia,2015,24
West Virginia,2016,18
West Virginia,2017,18
West Virginia,2018,18
West Virginia,2019,18
West Virginia,2020,18
Wisconsin,1991,16
Wisconsin,1992,18
Wisconsin,1993,18
Wisconsin,1994,20
Wisconsin,1995,17
Wisconsin,1996,20
Wisconsin,1997,20
Wisconsin,1998,21
Wisconsin,1999,21
Wisconsin,2000,21
Wisconsin,2001,21
Wisconsin,2002,24
Wisconsin,2003,24
Wisconsin,2004,24
Wisconsin,2005,24
Wisconsin,2006,24
Wisconsin,2007,24
Wisconsin,2008,24
Wisconsin,2009,24
Wisconsin,2010,26
Wisconsin,2011,24
Wisconsin,2012,24
Wisconsin,2013,24
Wisconsin,2014,24
Wisconsin,2015,23
Wisconsin,2016,23
Wisconsin,2017,23
Wisconsin,2018,23
Wisconsin,2019,23
Wisconsin,2020,23
Wyoming,1991,7
Wyoming,1992,7
Wyoming,1993,7
Wyoming,1994,11
Wyoming,1995,8
Wyoming,1996,8
Wyoming,1997,9
Wyoming,1998,9
Wyoming,1999,9
Wyoming,2000,9
Wyoming,2001,9
Wyoming,2002,9
Wyoming,2003,9
Wyoming,2004,9
Wyoming,2005,9
Wyoming,2006,9
Wyoming,2007,9
Wyoming,2008,9
Wyoming,2009,9
Wyoming,2010,12
Wyoming,2011,8
Wyoming,2012,8
Wyoming,2013,8
Wyoming,2014,8
Wyoming,2015,8
Wyoming,2016,8
Wyoming,2017,8
Wyoming,2018,7
Wyoming,2019,7
Wyoming,2020,7
